crudeoil	cases	vaccines	holidays	crudeoil:1	cases:1	vaccines:1	holidays:1	crudeoil:2	cases:2	vaccines:2	holidays:2	crudeoil:3	cases:3	vaccines:3	holidays:3	crudeoil:4	cases:4	vaccines:4	holidays:4	crudeoil:5	cases:5	vaccines:5	holidays:5
48.4000	222929.0000	837066.0000	0	48.0000	201697.0000	716621.0000	0	47.6200	166686.0000	586373.0000	0	*	154995.0000	96330.0000	0	*	218993.0000	140812.0000	0	*	108684.0000	12572.0000	1
48.5200	258110.0000	420280.0000	1	48.4000	222929.0000	837066.0000	0	48.0000	201697.0000	716621.0000	0	47.6200	166686.0000	586373.0000	0	*	154995.0000	96330.0000	0	*	218993.0000	140812.0000	0
*	166253.0000	85577.0000	1	48.5200	258110.0000	420280.0000	1	48.4000	222929.0000	837066.0000	0	48.0000	201697.0000	716621.0000	0	47.6200	166686.0000	586373.0000	0	*	154995.0000	96330.0000	0
*	295883.0000	261135.0000	0	*	166253.0000	85577.0000	1	48.5200	258110.0000	420280.0000	1	48.4000	222929.0000	837066.0000	0	48.0000	201697.0000	716621.0000	0	47.6200	166686.0000	586373.0000	0
*	203650.0000	136604.0000	0	*	295883.0000	261135.0000	0	*	166253.0000	85577.0000	1	48.5200	258110.0000	420280.0000	1	48.4000	222929.0000	837066.0000	0	48.0000	201697.0000	716621.0000	0
47.6200	181668.0000	650677.0000	0	*	203650.0000	136604.0000	0	*	295883.0000	261135.0000	0	*	166253.0000	85577.0000	1	48.5200	258110.0000	420280.0000	1	48.4000	222929.0000	837066.0000	0
49.9300	231270.0000	824151.0000	0	47.6200	181668.0000	650677.0000	0	*	203650.0000	136604.0000	0	*	295883.0000	261135.0000	0	*	166253.0000	85577.0000	1	48.5200	258110.0000	420280.0000	1
50.6300	256885.0000	1013971.0000	0	49.9300	231270.0000	824151.0000	0	47.6200	181668.0000	650677.0000	0	*	203650.0000	136604.0000	0	*	295883.0000	261135.0000	0	*	166253.0000	85577.0000	1
50.8300	288631.0000	1162310.0000	0	50.6300	256885.0000	1013971.0000	0	49.9300	231270.0000	824151.0000	0	47.6200	181668.0000	650677.0000	0	*	203650.0000	136604.0000	0	*	295883.0000	261135.0000	0
52.2400	303487.0000	1229154.0000	0	50.8300	288631.0000	1162310.0000	0	50.6300	256885.0000	1013971.0000	0	49.9300	231270.0000	824151.0000	0	47.6200	181668.0000	650677.0000	0	*	203650.0000	136604.0000	0
*	259534.0000	506006.0000	0	52.2400	303487.0000	1229154.0000	0	50.8300	288631.0000	1162310.0000	0	50.6300	256885.0000	1013971.0000	0	49.9300	231270.0000	824151.0000	0	47.6200	181668.0000	650677.0000	0
*	213376.0000	248774.0000	0	*	259534.0000	506006.0000	0	52.2400	303487.0000	1229154.0000	0	50.8300	288631.0000	1162310.0000	0	50.6300	256885.0000	1013971.0000	0	49.9300	231270.0000	824151.0000	0
52.2500	210836.0000	1065987.0000	0	*	213376.0000	248774.0000	0	*	259534.0000	506006.0000	0	52.2400	303487.0000	1229154.0000	0	50.8300	288631.0000	1162310.0000	0	50.6300	256885.0000	1013971.0000	0
53.2100	218902.0000	1252841.0000	0	52.2500	210836.0000	1065987.0000	0	*	213376.0000	248774.0000	0	*	259534.0000	506006.0000	0	52.2400	303487.0000	1229154.0000	0	50.8300	288631.0000	1162310.0000	0
52.9100	229843.0000	1318682.0000	0	53.2100	218902.0000	1252841.0000	0	52.2500	210836.0000	1065987.0000	0	*	213376.0000	248774.0000	0	*	259534.0000	506006.0000	0	52.2400	303487.0000	1229154.0000	0
53.5700	238043.0000	1307715.0000	0	52.9100	229843.0000	1318682.0000	0	53.2100	218902.0000	1252841.0000	0	52.2500	210836.0000	1065987.0000	0	*	213376.0000	248774.0000	0	*	259534.0000	506006.0000	0
52.3600	247026.0000	1260078.0000	0	53.5700	238043.0000	1307715.0000	0	52.9100	229843.0000	1318682.0000	0	53.2100	218902.0000	1252841.0000	0	52.2500	210836.0000	1065987.0000	0	*	213376.0000	248774.0000	0
*	208632.0000	654743.0000	0	52.3600	247026.0000	1260078.0000	0	53.5700	238043.0000	1307715.0000	0	52.9100	229843.0000	1318682.0000	0	53.2100	218902.0000	1252841.0000	0	52.2500	210836.0000	1065987.0000	0
*	176588.0000	306662.0000	0	*	208632.0000	654743.0000	0	52.3600	247026.0000	1260078.0000	0	53.5700	238043.0000	1307715.0000	0	52.9100	229843.0000	1318682.0000	0	53.2100	218902.0000	1252841.0000	0
*	141072.0000	884235.0000	1	*	176588.0000	306662.0000	0	*	208632.0000	654743.0000	0	52.3600	247026.0000	1260078.0000	0	53.5700	238043.0000	1307715.0000	0	52.9100	229843.0000	1318682.0000	0
52.9800	164287.0000	1348733.0000	0	*	141072.0000	884235.0000	1	*	176588.0000	306662.0000	0	*	208632.0000	654743.0000	0	52.3600	247026.0000	1260078.0000	0	53.5700	238043.0000	1307715.0000	0
53.2400	185392.0000	1623293.0000	0	52.9800	164287.0000	1348733.0000	0	*	141072.0000	884235.0000	1	*	176588.0000	306662.0000	0	*	208632.0000	654743.0000	0	52.3600	247026.0000	1260078.0000	0
53.1300	192327.0000	1644030.0000	0	53.2400	185392.0000	1623293.0000	0	52.9800	164287.0000	1348733.0000	0	*	141072.0000	884235.0000	1	*	176588.0000	306662.0000	0	*	208632.0000	654743.0000	0
52.2700	189527.0000	1619533.0000	0	53.1300	192327.0000	1644030.0000	0	53.2400	185392.0000	1623293.0000	0	52.9800	164287.0000	1348733.0000	0	*	141072.0000	884235.0000	1	*	176588.0000	306662.0000	0
*	174863.0000	905280.0000	0	52.2700	189527.0000	1619533.0000	0	53.1300	192327.0000	1644030.0000	0	53.2400	185392.0000	1623293.0000	0	52.9800	164287.0000	1348733.0000	0	*	141072.0000	884235.0000	1
*	137834.0000	396030.0000	0	*	174863.0000	905280.0000	0	52.2700	189527.0000	1619533.0000	0	53.1300	192327.0000	1644030.0000	0	53.2400	185392.0000	1623293.0000	0	52.9800	164287.0000	1348733.0000	0
52.7700	142118.0000	1367390.0000	0	*	137834.0000	396030.0000	0	*	174863.0000	905280.0000	0	52.2700	189527.0000	1619533.0000	0	53.1300	192327.0000	1644030.0000	0	53.2400	185392.0000	1623293.0000	0
52.6100	144784.0000	1655725.0000	0	52.7700	142118.0000	1367390.0000	0	*	137834.0000	396030.0000	0	*	174863.0000	905280.0000	0	52.2700	189527.0000	1619533.0000	0	53.1300	192327.0000	1644030.0000	0
52.8500	155137.0000	1922743.0000	0	52.6100	144784.0000	1655725.0000	0	52.7700	142118.0000	1367390.0000	0	*	137834.0000	396030.0000	0	*	174863.0000	905280.0000	0	52.2700	189527.0000	1619533.0000	0
52.3400	167436.0000	1953753.0000	0	52.8500	155137.0000	1922743.0000	0	52.6100	144784.0000	1655725.0000	0	52.7700	142118.0000	1367390.0000	0	*	137834.0000	396030.0000	0	*	174863.0000	905280.0000	0
52.2000	165847.0000	1907882.0000	0	52.3400	167436.0000	1953753.0000	0	52.8500	155137.0000	1922743.0000	0	52.6100	144784.0000	1655725.0000	0	52.7700	142118.0000	1367390.0000	0	*	137834.0000	396030.0000	0
*	145684.0000	1019431.0000	0	52.2000	165847.0000	1907882.0000	0	52.3400	167436.0000	1953753.0000	0	52.8500	155137.0000	1922743.0000	0	52.6100	144784.0000	1655725.0000	0	52.7700	142118.0000	1367390.0000	0
*	115429.0000	461855.0000	0	*	145684.0000	1019431.0000	0	52.2000	165847.0000	1907882.0000	0	52.3400	167436.0000	1953753.0000	0	52.8500	155137.0000	1922743.0000	0	52.6100	144784.0000	1655725.0000	0
53.5500	129368.0000	1367800.0000	0	*	115429.0000	461855.0000	0	*	145684.0000	1019431.0000	0	52.2000	165847.0000	1907882.0000	0	52.3400	167436.0000	1953753.0000	0	52.8500	155137.0000	1922743.0000	0
54.7600	113873.0000	1685981.0000	0	53.5500	129368.0000	1367800.0000	0	*	115429.0000	461855.0000	0	*	145684.0000	1019431.0000	0	52.2000	165847.0000	1907882.0000	0	52.3400	167436.0000	1953753.0000	0
55.6900	123113.0000	2133752.0000	0	54.7600	113873.0000	1685981.0000	0	53.5500	129368.0000	1367800.0000	0	*	115429.0000	461855.0000	0	*	145684.0000	1019431.0000	0	52.2000	165847.0000	1907882.0000	0
56.2300	123928.0000	2333641.0000	0	55.6900	123113.0000	2133752.0000	0	54.7600	113873.0000	1685981.0000	0	53.5500	129368.0000	1367800.0000	0	*	115429.0000	461855.0000	0	*	145684.0000	1019431.0000	0
56.8500	131662.0000	2353702.0000	0	56.2300	123928.0000	2333641.0000	0	55.6900	123113.0000	2133752.0000	0	54.7600	113873.0000	1685981.0000	0	53.5500	129368.0000	1367800.0000	0	*	115429.0000	461855.0000	0
*	110953.0000	1295632.0000	0	56.8500	131662.0000	2353702.0000	0	56.2300	123928.0000	2333641.0000	0	55.6900	123113.0000	2133752.0000	0	54.7600	113873.0000	1685981.0000	0	53.5500	129368.0000	1367800.0000	0
*	91883.0000	448108.0000	0	*	110953.0000	1295632.0000	0	56.8500	131662.0000	2353702.0000	0	56.2300	123928.0000	2333641.0000	0	55.6900	123113.0000	2133752.0000	0	54.7600	113873.0000	1685981.0000	0
57.9700	85010.0000	1571531.0000	0	*	91883.0000	448108.0000	0	*	110953.0000	1295632.0000	0	56.8500	131662.0000	2353702.0000	0	56.2300	123928.0000	2333641.0000	0	55.6900	123113.0000	2133752.0000	0
58.3600	94595.0000	1965816.0000	0	57.9700	85010.0000	1571531.0000	0	*	91883.0000	448108.0000	0	*	110953.0000	1295632.0000	0	56.8500	131662.0000	2353702.0000	0	56.2300	123928.0000	2333641.0000	0
58.6800	95832.0000	2293602.0000	0	58.3600	94595.0000	1965816.0000	0	57.9700	85010.0000	1571531.0000	0	*	91883.0000	448108.0000	0	*	110953.0000	1295632.0000	0	56.8500	131662.0000	2353702.0000	0
58.2400	106303.0000	2393677.0000	0	58.6800	95832.0000	2293602.0000	0	58.3600	94595.0000	1965816.0000	0	57.9700	85010.0000	1571531.0000	0	*	91883.0000	448108.0000	0	*	110953.0000	1295632.0000	0
59.4700	100031.0000	2577698.0000	0	58.2400	106303.0000	2393677.0000	0	58.6800	95832.0000	2293602.0000	0	58.3600	94595.0000	1965816.0000	0	57.9700	85010.0000	1571531.0000	0	*	91883.0000	448108.0000	0
*	88854.0000	1471433.0000	0	59.4700	100031.0000	2577698.0000	0	58.2400	106303.0000	2393677.0000	0	58.6800	95832.0000	2293602.0000	0	58.3600	94595.0000	1965816.0000	0	57.9700	85010.0000	1571531.0000	0
*	66349.0000	592083.0000	1	*	88854.0000	1471433.0000	0	59.4700	100031.0000	2577698.0000	0	58.2400	106303.0000	2393677.0000	0	58.6800	95832.0000	2293602.0000	0	58.3600	94595.0000	1965816.0000	0
*	54643.0000	1176172.0000	1	*	66349.0000	592083.0000	1	*	88854.0000	1471433.0000	0	59.4700	100031.0000	2577698.0000	0	58.2400	106303.0000	2393677.0000	0	58.6800	95832.0000	2293602.0000	0
60.0500	58603.0000	1618758.0000	0	*	54643.0000	1176172.0000	1	*	66349.0000	592083.0000	1	*	88854.0000	1471433.0000	0	59.4700	100031.0000	2577698.0000	0	58.2400	106303.0000	2393677.0000	0
61.1400	70069.0000	1959644.0000	0	60.0500	58603.0000	1618758.0000	0	*	54643.0000	1176172.0000	1	*	66349.0000	592083.0000	1	*	88854.0000	1471433.0000	0	59.4700	100031.0000	2577698.0000	0
60.5200	71356.0000	1853978.0000	0	61.1400	70069.0000	1959644.0000	0	60.0500	58603.0000	1618758.0000	0	*	54643.0000	1176172.0000	1	*	66349.0000	592083.0000	1	*	88854.0000	1471433.0000	0
59.2400	78186.0000	1963247.0000	0	60.5200	71356.0000	1853978.0000	0	61.1400	70069.0000	1959644.0000	0	60.0500	58603.0000	1618758.0000	0	*	54643.0000	1176172.0000	1	*	66349.0000	592083.0000	1
*	73407.0000	1304478.0000	0	59.2400	78186.0000	1963247.0000	0	60.5200	71356.0000	1853978.0000	0	61.1400	70069.0000	1959644.0000	0	60.0500	58603.0000	1618758.0000	0	*	54643.0000	1176172.0000	1
*	57896.0000	594647.0000	0	*	73407.0000	1304478.0000	0	59.2400	78186.0000	1963247.0000	0	60.5200	71356.0000	1853978.0000	0	61.1400	70069.0000	1959644.0000	0	60.0500	58603.0000	1618758.0000	0
61.4900	54839.0000	1458754.0000	0	*	57896.0000	594647.0000	0	*	73407.0000	1304478.0000	0	59.2400	78186.0000	1963247.0000	0	60.5200	71356.0000	1853978.0000	0	61.1400	70069.0000	1959644.0000	0
61.6700	72016.0000	1937963.0000	0	61.4900	54839.0000	1458754.0000	0	*	57896.0000	594647.0000	0	*	73407.0000	1304478.0000	0	59.2400	78186.0000	1963247.0000	0	60.5200	71356.0000	1853978.0000	0
63.2200	75012.0000	2520291.0000	0	61.6700	72016.0000	1937963.0000	0	61.4900	54839.0000	1458754.0000	0	*	57896.0000	594647.0000	0	*	73407.0000	1304478.0000	0	59.2400	78186.0000	1963247.0000	0
63.5300	78057.0000	2927522.0000	0	63.2200	75012.0000	2520291.0000	0	61.6700	72016.0000	1937963.0000	0	61.4900	54839.0000	1458754.0000	0	*	57896.0000	594647.0000	0	*	73407.0000	1304478.0000	0
61.5000	78735.0000	3095956.0000	0	63.5300	78057.0000	2927522.0000	0	63.2200	75012.0000	2520291.0000	0	61.6700	72016.0000	1937963.0000	0	61.4900	54839.0000	1458754.0000	0	*	57896.0000	594647.0000	0
*	66066.0000	1984377.0000	0	61.5000	78735.0000	3095956.0000	0	63.5300	78057.0000	2927522.0000	0	63.2200	75012.0000	2520291.0000	0	61.6700	72016.0000	1937963.0000	0	61.4900	54839.0000	1458754.0000	0
*	51867.0000	852087.0000	0	*	66066.0000	1984377.0000	0	61.5000	78735.0000	3095956.0000	0	63.5300	78057.0000	2927522.0000	0	63.2200	75012.0000	2520291.0000	0	61.6700	72016.0000	1937963.0000	0
60.6400	54489.0000	2015050.0000	0	*	51867.0000	852087.0000	0	*	66066.0000	1984377.0000	0	61.5000	78735.0000	3095956.0000	0	63.5300	78057.0000	2927522.0000	0	63.2200	75012.0000	2520291.0000	0
59.7500	57067.0000	2452002.0000	0	60.6400	54489.0000	2015050.0000	0	*	51867.0000	852087.0000	0	*	66066.0000	1984377.0000	0	61.5000	78735.0000	3095956.0000	0	63.5300	78057.0000	2927522.0000	0
61.2800	67149.0000	2893579.0000	0	59.7500	57067.0000	2452002.0000	0	60.6400	54489.0000	2015050.0000	0	*	51867.0000	852087.0000	0	*	66066.0000	1984377.0000	0	61.5000	78735.0000	3095956.0000	0
63.8300	68532.0000	3189758.0000	0	61.2800	67149.0000	2893579.0000	0	59.7500	57067.0000	2452002.0000	0	60.6400	54489.0000	2015050.0000	0	*	51867.0000	852087.0000	0	*	66066.0000	1984377.0000	0
66.0900	66865.0000	3214650.0000	0	63.8300	68532.0000	3189758.0000	0	61.2800	67149.0000	2893579.0000	0	59.7500	57067.0000	2452002.0000	0	60.6400	54489.0000	2015050.0000	0	*	51867.0000	852087.0000	0
*	59295.0000	2046807.0000	0	66.0900	66865.0000	3214650.0000	0	63.8300	68532.0000	3189758.0000	0	61.2800	67149.0000	2893579.0000	0	59.7500	57067.0000	2452002.0000	0	60.6400	54489.0000	2015050.0000	0
*	42066.0000	926233.0000	0	*	59295.0000	2046807.0000	0	66.0900	66865.0000	3214650.0000	0	63.8300	68532.0000	3189758.0000	0	61.2800	67149.0000	2893579.0000	0	59.7500	57067.0000	2452002.0000	0
65.0500	44312.0000	2153722.0000	0	*	42066.0000	926233.0000	0	*	59295.0000	2046807.0000	0	66.0900	66865.0000	3214650.0000	0	63.8300	68532.0000	3189758.0000	0	61.2800	67149.0000	2893579.0000	0
64.0100	55806.0000	2700135.0000	0	65.0500	44312.0000	2153722.0000	0	*	42066.0000	926233.0000	0	*	59295.0000	2046807.0000	0	66.0900	66865.0000	3214650.0000	0	63.8300	68532.0000	3189758.0000	0
64.4400	58231.0000	3117812.0000	0	64.0100	55806.0000	2700135.0000	0	65.0500	44312.0000	2153722.0000	0	*	42066.0000	926233.0000	0	*	59295.0000	2046807.0000	0	66.0900	66865.0000	3214650.0000	0
66.0200	62891.0000	3431301.0000	0	64.4400	58231.0000	3117812.0000	0	64.0100	55806.0000	2700135.0000	0	65.0500	44312.0000	2153722.0000	0	*	42066.0000	926233.0000	0	*	59295.0000	2046807.0000	0
65.6100	62073.0000	3414563.0000	0	66.0200	62891.0000	3431301.0000	0	64.4400	58231.0000	3117812.0000	0	64.0100	55806.0000	2700135.0000	0	65.0500	44312.0000	2153722.0000	0	*	42066.0000	926233.0000	0
*	53592.0000	2188389.0000	0	65.6100	62073.0000	3414563.0000	0	66.0200	62891.0000	3431301.0000	0	64.4400	58231.0000	3117812.0000	0	64.0100	55806.0000	2700135.0000	0	65.0500	44312.0000	2153722.0000	0
*	38852.0000	983152.0000	0	*	53592.0000	2188389.0000	0	65.6100	62073.0000	3414563.0000	0	66.0200	62891.0000	3431301.0000	0	64.4400	58231.0000	3117812.0000	0	64.0100	55806.0000	2700135.0000	0
65.3900	54768.0000	2275807.0000	0	*	38852.0000	983152.0000	0	*	53592.0000	2188389.0000	0	65.6100	62073.0000	3414563.0000	0	66.0200	62891.0000	3431301.0000	0	64.4400	58231.0000	3117812.0000	0
64.8000	54381.0000	2874904.0000	0	65.3900	54768.0000	2275807.0000	0	*	38852.0000	983152.0000	0	*	53592.0000	2188389.0000	0	65.6100	62073.0000	3414563.0000	0	66.0200	62891.0000	3431301.0000	0
64.6000	59487.0000	3155185.0000	0	64.8000	54381.0000	2874904.0000	0	65.3900	54768.0000	2275807.0000	0	*	38852.0000	983152.0000	0	*	53592.0000	2188389.0000	0	65.6100	62073.0000	3414563.0000	0
60.0000	60525.0000	3399395.0000	0	64.6000	59487.0000	3155185.0000	0	64.8000	54381.0000	2874904.0000	0	65.3900	54768.0000	2275807.0000	0	*	38852.0000	983152.0000	0	*	53592.0000	2188389.0000	0
61.4200	62065.0000	3324518.0000	0	60.0000	60525.0000	3399395.0000	0	64.6000	59487.0000	3155185.0000	0	64.8000	54381.0000	2874904.0000	0	65.3900	54768.0000	2275807.0000	0	*	38852.0000	983152.0000	0
*	57022.0000	2149774.0000	0	61.4200	62065.0000	3324518.0000	0	60.0000	60525.0000	3399395.0000	0	64.6000	59487.0000	3155185.0000	0	64.8000	54381.0000	2874904.0000	0	65.3900	54768.0000	2275807.0000	0
*	34978.0000	1020059.0000	0	*	57022.0000	2149774.0000	0	61.4200	62065.0000	3324518.0000	0	60.0000	60525.0000	3399395.0000	0	64.6000	59487.0000	3155185.0000	0	64.8000	54381.0000	2874904.0000	0
61.5500	49481.0000	2356424.0000	0	*	34978.0000	1020059.0000	0	*	57022.0000	2149774.0000	0	61.4200	62065.0000	3324518.0000	0	60.0000	60525.0000	3399395.0000	0	64.6000	59487.0000	3155185.0000	0
57.7600	53299.0000	3052905.0000	0	61.5500	49481.0000	2356424.0000	0	*	34978.0000	1020059.0000	0	*	57022.0000	2149774.0000	0	61.4200	62065.0000	3324518.0000	0	60.0000	60525.0000	3399395.0000	0
61.1800	87121.0000	3543018.0000	0	57.7600	53299.0000	3052905.0000	0	61.5500	49481.0000	2356424.0000	0	*	34978.0000	1020059.0000	0	*	57022.0000	2149774.0000	0	61.4200	62065.0000	3324518.0000	0
58.5600	67976.0000	3819390.0000	0	61.1800	87121.0000	3543018.0000	0	57.7600	53299.0000	3052905.0000	0	61.5500	49481.0000	2356424.0000	0	*	34978.0000	1020059.0000	0	*	57022.0000	2149774.0000	0
60.9700	77545.0000	3816753.0000	0	58.5600	67976.0000	3819390.0000	0	61.1800	87121.0000	3543018.0000	0	57.7600	53299.0000	3052905.0000	0	61.5500	49481.0000	2356424.0000	0	*	34978.0000	1020059.0000	0
*	62223.0000	2462024.0000	0	60.9700	77545.0000	3816753.0000	0	58.5600	67976.0000	3819390.0000	0	61.1800	87121.0000	3543018.0000	0	57.7600	53299.0000	3052905.0000	0	61.5500	49481.0000	2356424.0000	0
*	46354.0000	1205640.0000	0	*	62223.0000	2462024.0000	0	60.9700	77545.0000	3816753.0000	0	58.5600	67976.0000	3819390.0000	0	61.1800	87121.0000	3543018.0000	0	57.7600	53299.0000	3052905.0000	0
61.5600	67298.0000	2826806.0000	0	*	46354.0000	1205640.0000	0	*	62223.0000	2462024.0000	0	60.9700	77545.0000	3816753.0000	0	58.5600	67976.0000	3819390.0000	0	61.1800	87121.0000	3543018.0000	0
60.5500	61437.0000	3577372.0000	0	61.5600	67298.0000	2826806.0000	0	*	46354.0000	1205640.0000	0	*	62223.0000	2462024.0000	0	60.9700	77545.0000	3816753.0000	0	58.5600	67976.0000	3819390.0000	0
59.1600	66972.0000	4151225.0000	0	60.5500	61437.0000	3577372.0000	0	61.5600	67298.0000	2826806.0000	0	*	46354.0000	1205640.0000	0	*	62223.0000	2462024.0000	0	60.9700	77545.0000	3816753.0000	0
61.4500	79189.0000	4507918.0000	0	59.1600	66972.0000	4151225.0000	0	60.5500	61437.0000	3577372.0000	0	61.5600	67298.0000	2826806.0000	0	*	46354.0000	1205640.0000	0	*	62223.0000	2462024.0000	0
*	71849.0000	3638221.0000	0	61.4500	79189.0000	4507918.0000	0	59.1600	66972.0000	4151225.0000	0	60.5500	61437.0000	3577372.0000	0	61.5600	67298.0000	2826806.0000	0	*	46354.0000	1205640.0000	0
*	64247.0000	2293299.0000	0	*	71849.0000	3638221.0000	0	61.4500	79189.0000	4507918.0000	0	59.1600	66972.0000	4151225.0000	0	60.5500	61437.0000	3577372.0000	0	61.5600	67298.0000	2826806.0000	0
*	36354.0000	759594.0000	1	*	64247.0000	2293299.0000	0	*	71849.0000	3638221.0000	0	61.4500	79189.0000	4507918.0000	0	59.1600	66972.0000	4151225.0000	0	60.5500	61437.0000	3577372.0000	0
58.6500	73448.0000	3088162.0000	0	*	36354.0000	759594.0000	1	*	64247.0000	2293299.0000	0	*	71849.0000	3638221.0000	0	61.4500	79189.0000	4507918.0000	0	59.1600	66972.0000	4151225.0000	0
59.3300	61144.0000	3963475.0000	0	58.6500	73448.0000	3088162.0000	0	*	36354.0000	759594.0000	1	*	64247.0000	2293299.0000	0	*	71849.0000	3638221.0000	0	61.4500	79189.0000	4507918.0000	0
59.7700	74990.0000	4341590.0000	0	59.3300	61144.0000	3963475.0000	0	58.6500	73448.0000	3088162.0000	0	*	36354.0000	759594.0000	1	*	64247.0000	2293299.0000	0	*	71849.0000	3638221.0000	0
59.6000	80252.0000	4480052.0000	0	59.7700	74990.0000	4341590.0000	0	59.3300	61144.0000	3963475.0000	0	58.6500	73448.0000	3088162.0000	0	*	36354.0000	759594.0000	1	*	64247.0000	2293299.0000	0
59.3200	84337.0000	4298026.0000	0	59.6000	80252.0000	4480052.0000	0	59.7700	74990.0000	4341590.0000	0	59.3300	61144.0000	3963475.0000	0	58.6500	73448.0000	3088162.0000	0	*	36354.0000	759594.0000	1
*	69294.0000	2869289.0000	0	59.3200	84337.0000	4298026.0000	0	59.6000	80252.0000	4480052.0000	0	59.7700	74990.0000	4341590.0000	0	59.3300	61144.0000	3963475.0000	0	58.6500	73448.0000	3088162.0000	0
*	46443.0000	1397861.0000	0	*	69294.0000	2869289.0000	0	59.3200	84337.0000	4298026.0000	0	59.6000	80252.0000	4480052.0000	0	59.7700	74990.0000	4341590.0000	0	59.3300	61144.0000	3963475.0000	0
59.7000	66959.0000	2998534.0000	0	*	46443.0000	1397861.0000	0	*	69294.0000	2869289.0000	0	59.3200	84337.0000	4298026.0000	0	59.6000	80252.0000	4480052.0000	0	59.7700	74990.0000	4341590.0000	0
60.1800	79144.0000	3459168.0000	0	59.7000	66959.0000	2998534.0000	0	*	46443.0000	1397861.0000	0	*	69294.0000	2869289.0000	0	59.3200	84337.0000	4298026.0000	0	59.6000	80252.0000	4480052.0000	0
63.1500	75316.0000	3673379.0000	0	60.1800	79144.0000	3459168.0000	0	59.7000	66959.0000	2998534.0000	0	*	46443.0000	1397861.0000	0	*	69294.0000	2869289.0000	0	59.3200	84337.0000	4298026.0000	0
63.4600	73910.0000	3724371.0000	0	63.1500	75316.0000	3673379.0000	0	60.1800	79144.0000	3459168.0000	0	59.7000	66959.0000	2998534.0000	0	*	46443.0000	1397861.0000	0	*	69294.0000	2869289.0000	0
63.1300	80378.0000	3581657.0000	0	63.4600	73910.0000	3724371.0000	0	63.1500	75316.0000	3673379.0000	0	60.1800	79144.0000	3459168.0000	0	59.7000	66959.0000	2998534.0000	0	*	46443.0000	1397861.0000	0
*	54162.0000	2347926.0000	0	63.1300	80378.0000	3581657.0000	0	63.4600	73910.0000	3724371.0000	0	63.1500	75316.0000	3673379.0000	0	60.1800	79144.0000	3459168.0000	0	59.7000	66959.0000	2998534.0000	0
*	42884.0000	1122662.0000	0	*	54162.0000	2347926.0000	0	63.1300	80378.0000	3581657.0000	0	63.4600	73910.0000	3724371.0000	0	63.1500	75316.0000	3673379.0000	0	60.1800	79144.0000	3459168.0000	0
63.3800	66173.0000	2556067.0000	0	*	42884.0000	1122662.0000	0	*	54162.0000	2347926.0000	0	63.1300	80378.0000	3581657.0000	0	63.4600	73910.0000	3724371.0000	0	63.1500	75316.0000	3673379.0000	0
